Year,state,coc_number,coc_name,measures,count
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Chronically Homeless People in Families,36
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless Individuals,193
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless People in Families,41
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless Veterans,15
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless,145
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless Individuals,135
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless People in Families,10
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless,208
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless Individuals,167
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless People in Families,41
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless Veterans,10
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Total Homeless,234
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless,52
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless Individuals,26
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless People in Families,26
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless,26
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless Individuals,26
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless People in Families,0
2011-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless Veterans,5
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless,"1,914"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless Individuals,"1,791"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless People in Families,123
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless Individuals,"6,293"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless People in Families,"2,178"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless Veterans,"1,146"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless,323
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless Individuals,264
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless People in Families,59
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless,"4,053"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless Individuals,"2,405"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless People in Families,"1,648"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless Veterans,405
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Total Homeless,"8,471"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Chronically Homeless,"1,591"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Chronically Homeless Individuals,"1,527"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Chronically Homeless People in Families,64
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless,"4,418"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless Individuals,"3,888"
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless People in Families,530
2011-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Unsheltered Homeless Veterans,741
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Chronically Homeless,19
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Chronically Homeless Individuals,19
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Chronically Homeless People in Families,0
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Homeless Individuals,141
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Homeless People in Families,92
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Homeless Veterans,13
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Chronically Homeless,19
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Chronically Homeless Individuals,19
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Chronically Homeless People in Families,0
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless,169
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless Individuals,93
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless People in Families,76
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Sheltered Homeless Veterans,13
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Total Homeless,233
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Chronically Homeless,0
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Chronically Homeless Individuals,0
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Chronically Homeless People in Families,0
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless,64
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless Individuals,48
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless People in Families,16
2011-01-01,TX,TX-701,Bryan/College Station/Brazos Valley CoC,Unsheltered Homeless Veterans,0
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Chronically Homeless,539
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Chronically Homeless Individuals,526
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Chronically Homeless People in Families,13
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless Individuals,"1,289"
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless People in Families,"2,381"
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless Veterans,286
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Chronically Homeless,285
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Chronically Homeless Individuals,272
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Chronically Homeless People in Families,13
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless,"2,043"
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless Individuals,499
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless People in Families,"1,544"
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless Veterans,221
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Total Homeless,"3,670"
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Chronically Homeless,254
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Chronically Homeless Individuals,254
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Chronically Homeless People in Families,0
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless,"1,627"
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless Individuals,790
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless People in Families,837
2012-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless Veterans,65
2012-01-01,TX,TX-503,Austin/Travis County CoC,Chronically Homeless,733
2012-01-01,TX,TX-503,Austin/Travis County CoC,Chronically Homeless Individuals,708
2012-01-01,TX,TX-503,Austin/Travis County CoC,Chronically Homeless People in Families,25
2012-01-01,TX,TX-503,Austin/Travis County CoC,Homeless Individuals,"1,572"
2012-01-01,TX,TX-503,Austin/Travis County CoC,Homeless People in Families,672
2012-01-01,TX,TX-503,Austin/Travis County CoC,Homeless Veterans,353
2012-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Chronically Homeless,292
2012-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Chronically Homeless Individuals,270
2012-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Chronically Homeless People in Families,22
2012-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless,"1,375"
2012-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless Individuals,717
2012-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless People in Families,658
2012-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless Veterans,146
2012-01-01,TX,TX-503,Austin/Travis County CoC,Total Homeless,"2,244"
2012-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Chronically Homeless,441
2012-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Chronically Homeless Individuals,438
2012-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Chronically Homeless People in Families,3
2012-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless,869
2012-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless Individuals,855
2012-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless People in Families,14
2012-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless Veterans,207
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Chronically Homeless,442
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Chronically Homeless Individuals,434
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Chronically Homeless People in Families,8
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Homeless Individuals,"1,598"
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Homeless People in Families,"1,849"
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Homeless Veterans,409
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Chronically Homeless,298
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Chronically Homeless Individuals,291
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Chronically Homeless People in Families,7
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless,"3,242"
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless Individuals,"1,406"
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless People in Families,"1,836"
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless Veterans,346
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Total Homeless,"3,447"
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Chronically Homeless,144
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Chronically Homeless Individuals,143
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Chronically Homeless People in Families,1
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless,205
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless Individuals,192
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless People in Families,13
2012-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless Veterans,63
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Chronically Homeless,225
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Chronically Homeless Individuals,219
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Chronically Homeless People in Families,6
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless Individuals,"1,269"
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless People in Families,854
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless Veterans,164
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Chronically Homeless,187
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Chronically Homeless Individuals,181
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Chronically Homeless People in Families,6
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless,"1,987"
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless Individuals,"1,135"
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless People in Families,852
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless Veterans,136
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Total Homeless,"2,123"
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Chronically Homeless,38
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Chronically Homeless Individuals,38
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Chronically Homeless People in Families,0
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless,136
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless Individuals,134
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless People in Families,2
2012-01-01,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless Veterans,28
2012-01-01,TX,TX-603,El Paso City & County CoC,Chronically Homeless,115
2012-01-01,TX,TX-603,El Paso City & County CoC,Chronically Homeless Individuals,105
2012-01-01,TX,TX-603,El Paso City & County CoC,Chronically Homeless People in Families,10
2012-01-01,TX,TX-603,El Paso City & County CoC,Homeless Individuals,742
2012-01-01,TX,TX-603,El Paso City & County CoC,Homeless People in Families,494
2012-01-01,TX,TX-603,El Paso City & County CoC,Homeless Veterans,112
2012-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Chronically Homeless,75
2012-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Chronically Homeless Individuals,65
2012-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Chronically Homeless People in Families,10
2012-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless,"1,054"
2012-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless Individuals,560
2012-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless People in Families,494
2012-01-01,TX,TX-603,El Paso City & County CoC,Sheltered Homeless Veterans,65
2012-01-01,TX,TX-603,El Paso City & County CoC,Total Homeless,"1,236"
2012-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Chronically Homeless,40
2012-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Chronically Homeless Individuals,40
2012-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Chronically Homeless People in Families,0
2012-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless,182
2012-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless Individuals,182
2012-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless People in Families,0
2012-01-01,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless Veterans,47
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Chronically Homeless,34
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Chronically Homeless Individuals,29
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Chronically Homeless People in Families,5
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Homeless Individuals,162
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Homeless People in Families,157
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Homeless Veterans,58
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Chronically Homeless,2
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Chronically Homeless Individuals,2
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Chronically Homeless People in Families,0
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless,258
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless Individuals,106
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless People in Families,152
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Sheltered Homeless Veterans,41
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Total Homeless,319
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Chronically Homeless,32
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Chronically Homeless Individuals,27
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Chronically Homeless People in Families,5
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless,61
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless Individuals,56
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless People in Families,5
2012-01-01,TX,TX-604,Waco/McLennan County CoC,Unsheltered Homeless Veterans,17
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Chronically Homeless,"2,895"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Chronically Homeless Individuals,"2,528"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Chronically Homeless People in Families,367
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Homeless Individuals,"7,727"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Homeless People in Families,"5,037"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Homeless Veterans,"1,728"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Chronically Homeless,670
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Chronically Homeless Individuals,473
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Chronically Homeless People in Families,197
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless,"3,342"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless Individuals,"1,952"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless People in Families,"1,390"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Sheltered Homeless Veterans,461
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Total Homeless,"12,764"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Chronically Homeless,"2,225"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Chronically Homeless Individuals,"2,055"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Chronically Homeless People in Families,170
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless,"9,422"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless Individuals,"5,775"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless People in Families,"3,647"
2012-01-01,TX,TX-607,Texas Balance of State (BoS) CoC,Unsheltered Homeless Veterans,"1,267"
2012-01-01,TX,TX-611,Amarillo CoC,Chronically Homeless,77
2012-01-01,TX,TX-611,Amarillo CoC,Chronically Homeless Individuals,72
2012-01-01,TX,TX-611,Amarillo CoC,Chronically Homeless People in Families,5
2012-01-01,TX,TX-611,Amarillo CoC,Homeless Individuals,383
2012-01-01,TX,TX-611,Amarillo CoC,Homeless People in Families,145
2012-01-01,TX,TX-611,Amarillo CoC,Homeless Veterans,79
2012-01-01,TX,TX-611,Amarillo CoC,Sheltered Chronically Homeless,55
2012-01-01,TX,TX-611,Amarillo CoC,Sheltered Chronically Homeless Individuals,51
2012-01-01,TX,TX-611,Amarillo CoC,Sheltered Chronically Homeless People in Families,4
2012-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless,477
2012-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless Individuals,332
2012-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless People in Families,145
2012-01-01,TX,TX-611,Amarillo CoC,Sheltered Homeless Veterans,75
2012-01-01,TX,TX-611,Amarillo CoC,Total Homeless,528
2012-01-01,TX,TX-611,Amarillo CoC,Unsheltered Chronically Homeless,22
2012-01-01,TX,TX-611,Amarillo CoC,Unsheltered Chronically Homeless Individuals,21
2012-01-01,TX,TX-611,Amarillo CoC,Unsheltered Chronically Homeless People in Families,1
2012-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless,51
2012-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless Individuals,51
2012-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless People in Families,0
2012-01-01,TX,TX-611,Amarillo CoC,Unsheltered Homeless Veterans,4
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Chronically Homeless,118
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Chronically Homeless Individuals,110
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Chronically Homeless People in Families,8
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless Individuals,182
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless People in Families,44
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Homeless Veterans,6
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless,88
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless Individuals,80
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Chronically Homeless People in Families,8
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless,169
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless Individuals,131
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless People in Families,38
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered Homeless Veterans,6
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Total Homeless,226
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless,30
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless Individuals,30
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Chronically Homeless People in Families,0
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless,57
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless Individuals,51
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless People in Families,6
2012-01-01,TX,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Unsheltered Homeless Veterans,0
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless,"1,422"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless Individuals,"1,370"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Chronically Homeless People in Families,52
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless Individuals,"5,621"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless People in Families,"1,566"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Homeless Veterans,"1,162"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless,178
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless Individuals,161
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Chronically Homeless People in Families,17
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless,"3,363"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless Individuals,"2,081"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless People in Families,"1,282"
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered Homeless Veterans,380
2012-01-01,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Total Homeless,"7,187"
