Year (CY),Type,Source,Summary,Recommendation/Resolution,Implementing Department,Action Category,Direct/Indirect?,Targeted at Homelessness?,Actionable?,Status of the Recommendation/Resolution 
2017,Council Resolution,20170817-054,Resolution relating to legal actions that concern housing discrimination based on source of income,"• City Manager shall initiate litigation against the State to allow the City and other Texas municipalities to fight housing discrimination based on source of income.
• City Manager is directed to explore, identify, and allocate the necessary resources, financial or otherwise, to pursue effective litigation against the State of Texas.",City Manager,Recommendations for planning and approach,Indirect,No,,
2017,Council Resolution,20170817-053,Relating to a citizens' task force on displacement issues,"• Council creates a 17-member task force to review and recommend strategies on affordable housing, controlling land for community development, preserving and growing small businesses/cultural assets, income and asset creation, and financing strategies to fund the previous four; the task force shall report back in August 2018.
• City Manager shall assist the task force by providing data on housing demolitions, condo conversions, speculative sale, abandonment, increased prices, and other indicators of housing loss; and previously adopted Council Resolutions and City Manager's response.
• OCA shall review all City work to date on policy and program recommendations related to displacement and gentrification.
• City Manager shall solicit proposals for technical assistance to the task force; the consultant should be able to provide expertise on displacement and gentrification and to facilitate research into these areas; the consultant shall provide the task force with a tool box of policies and programs with proven effectiveness.","Council, City Manager, OCA",Recommendations for planning and approach,Indirect,No,,
2017,Council Resolution,20170831-103,Directing the City Manager to provide additional information and recommendations for creating a dedicated funding stream for capital and operating expenditures related to meeting the needs of those experiencing homelessness,• City Manager is directed to identify any additional financial tools that could help create a dedicated funding stream for capital and operating expenditures related to meeting the needs of those experiencing homelessness. Areas of exploration should include consideration of municipal management districts; City Manager to report back by 9/19/17.,City Manager,Financing,Indirect,No,,
2017,Council Resolution,20170831-059,Resolution directing the City Manager to develop recommendations for engaging the community in alternatives to activities such as ?panhandling? with more effective and positive interactions with people experiencing homelessness.,"• City Manager shall develop recommendations to engage the community in alternatives to panhandling with more effective and positive interactions with people experiencing homelessness.
• City Manager is directed to identify resources with the city or appropriate non-profit organizations required to implement such a community engagement program and return to the City Council with the developed recommendations no later than January 31, 2018.
",City Manager,Recommendations for planning and approach,Indirect,Yes,,
2017,Council Resolution,20170831-054,Directing the City Manager to develop a pilot program that would offer temporary work opportunities to those experiencing homelessness and to make recommendations to Council,"• City Manager shall develop the Residents In Search of Empowerment ATX program to offer temporary City work to the homeless.
• City Manager should explore additional options to overcoming homelessness and obstacles to employment for difficult to employ populations, and should report back on any barriers to small-scale, street, and or mobile vendors within the city limits.
• City Manager shall identify work for workers of all abilities and for-profit or non-profit community partners to administer provisions of the program.
• City Manager directed to return to the Council with a memo or presentation regarding possible options for such a pilot program by January 1, 2018.",City Manager,Income and asset creation,Direct,Yes,,
2012,Council Resolution,20120112-064,"City Manger to consult with Austin school districts regarding the potential expansion of the Educational Impact Statement program to add districts not included in the existing program and consider actions necessary to incorporate the assessments into the process for code amendments, policy proposals, and development permitting.","The City Manager to consult with the various school districts within the City of Austin to extend the Educational Impact Statement to the other districts and, where there is interest, to take the actions necessary to make the assessment a formal process for code amendments, policy proposals, and permitting for development.",City Manager,Recommendations for planning and approach,Indirect,No,,
2012,Council Resolution,20120202-015,"City Manager to work with the Community Development Commission and representatives of community housing development corporations (CHDOs) and other eligible non-profit organizations to implement a process for evaluation and consideration of CHDOs and other non-profit organizations as community land trusts and report back to the Council on the status of implementation of the process by April 5, 2012.
","City Manager to work with the Community Development Commission and representatives of community housing development organizations (CHDOs) and other eligible non-profit organizations to implement a process for evaluation and consideration of CHDOs and other non-profit organizations as community land trusts;
City Manager report back to the City Council on the status of implementation of the process by April 5, 2012.",City Manager,Controlling land for community development,Indirect,No,,
2012,Council Resolution,20120209-AHFC003,"authorizing the Austin Housing Finance Corporation treasurer to submit two grant applications to the Texas Department of Housing and Community Affairs, one for $1,000,000 and the other for $650,000, for the Texas Neighborhood Stabilization Program 1 - Program Income fund for construction and administration costs for eleven new single-family homes to be sold to low- to moderate-income households; acknowledging that the Texas Neighborhood Stabilization Program is a reimbursement program; and authorizing the treasurer or general manager to sign contracts and all other documents related to the administration of the program.","The Austin Housing Finance Corporation (AHFC), through its treasurer, Elizabeth A. Spencer, is authorized to submit two grant applications to the Texas Department of Housing and Community Affairs, one for $1,000,000 and the other for $650,000, for the Texas Neighborhood Stabilization Program 1 - Program Income fund for construction and administration costs for eleven new single-family homes to be sold to low- to moderate-income households.",AHFC,Financing,Indirect,No,,Presumed Implemented
2012,Council Resolution,20120301-008,N/A,The Council adopts the City of Austin's Federal Legislative Program.,N/A,Recommendations for planning and approach,Indirect,No,,Presumed Implemented
2012,Council Resolution,20120301-048, Resolution directing the City Manager to review the city's current banking policies and make recommendations on changes to give preference to banks that support community reinvestment goals,"City Manager to evaluate and report back to the City Council within 60 days regarding the following:
• current status of the city's depository contract, including information on renewal options and the timing for the solicitation process;
• Fiscal and operational impacts of terminating the current depository contract and contracting with an alternative local or regional bank, including the feasibility of a credit union; and
• An assessment of the capacity of alternative banks, such as credit unions, to maintain and manage the city's banking needs.

The City Manager is directed to review the city's current banking policies and make recommendations on changes to give preference to banks that support community reinvestment goals, such as the stabilization of the housing market, provision of loans to local homeowners and businesses, establishment of local branches in low-income communities, and opportunities for local employment.",City Manager,Recommendations for planning and approach,Indirect,No,,
2012,Council Resolution,20121108-059,City Manager to work with the Community Development Commission and stakeholders to develop recommendations regarding relocation standards and to identify the feasibility of and mechanisms for implementing these standards in zoning and demolition permit applications,"• City Manager is directed to work with the Community Development Commission and stakeholders to develop recommendations regarding relocation standards and to identify the feasibility, of and mechanisms for, implementing these standards in zoning and demolition permit applications; and
• City Manager is directed to present these recommendations to city commissions, including the Community Development Commission and the Planning Commission, for feedback and to report the recommendations to the City Council by April 30, 2013.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2012,Council Resolution,20120308-035,Resolution directing the City Manager to develop a pilot multi-track workforce development program for residents in the East 11th and 12th Streets area,"The City Manager: 
• Work with stakeholders including Austin Community College, Austin Independent School District, Workforce Solutions - Capital Area Workforce Board and local workforce development organizations, small business alliances, local chambers of commerce, and community leaders to develop a pilot multi-track workforce development program that incorporates: Job readiness training, Interaction with local workforce development program providers and small business owners, and Education about programs available for participants to continue in entrepreneur training, industry-specific training, and/or continued education.
• Consider current and future workforce development contracts administered by the City's Department of Health and Human Services that may be able to incorporate this initiative within existing programs.
• Provide City Council with a progress report on or before May 15, 2012, and to present the pilot program at a City Council work session prior to August 16, 2012.",City Manager,Income and asset creation,Indirect,No,,
2012,Council Resolution,20120308- AHFC007," authorizing the Austin Housing Finance Corporation general manager or treasurer to submit a grant application for up to $500,000 to the FEDERAL HOME LOAN BANK in Dallas, Texas for the purpose of supplementing funding needed to construct affordable rental housing; and authorizing the treasurer or general manager to sign contracts and all other documents related to the administration of the grant award.","• The Austin Housing Finance Corporation (AHFC) general manager or treasurer is authorized to submit a grant application for up to $500,000 to the Federal Home Loan Bank in Dallas, Texas for the purpose of supplementing funding needed to construct affordable rental housing.
• The AHFC authorizes the general manager or treasurer to sign contracts and all other documents related to the administration of the grant award.",AHFC,Financing,Indirect,No,,Presumed Implemented
2012,Council Resolution,20120405-047,"Directing the City Manager to investigate the creation of an incentive program for small local businesses, as well as other initiatives, as recommended by Austin Independent Business Alliance and report back to Council on options.","City Manager to investigate ways to enhance the City's Small Business Development Program, including:
• Create and fill the position of Local Business Ombudsman, with authority to work collaboratively with other city departments to assist local businesses in working through bottlenecks in city licensing, permitting, and inspection processes, to identify and resolve recurring bottlenecks that affect multiple businesses, and to be an advocate within the City for small business concerns. Partner with organizations like TexHealth to assist employees and owners of small local businesses to access health care.
• Create an incentive program for small, local businesses, to be focused on new and emerging businesses that provide goods and services to statewide, national, and international markets, or that contribute substantially to Austin's unique local culture. The incentives may be in the form of tax credits, fee waivers, and free or reduced-price business skill development and job training, or capital infrastructure, but should be justifiable on the basis of net revenues to the City and economic benefits to City residents.
• Increase the visibility of the City's Small Business Development Program and partner with business groups such as the Austin Independent Business Alliance to promote a Shop Local campaign.
• Convene an annual local business conference to address ongoing issues and to continue the work begun at the small local business summit held on 23 March 2010.

That the City Manager is directed to work with the Austin Independent Business Alliance and other small business groups and other stakeholders as needed to identify and recommend appropriate adjustments to city codes, ordinances, and processes that put an undue burden on small business operation and expansion. That the City Manager to work with small business groups and other stakeholders as needed to develop a pilot program for developing alternative compliance plans for small, local businesses. That the City Manager to report to the Council on or before 14 June 2012 with a plan for implementation of these directives, including estimated budget adjustments and an implementation schedule.",City Manager,Preserving and growing small businesses and cultural assets,Indirect,No,,
2012,Council Resolution,20120524-090,Directing City Manager to work with certain local non-profit organizations and determine how the City may assist in preparing application to Bloomberg Philanthropies and Living Cities for a Phase One Financial Empowerment Center grant.,"• The City Manager is directed to determine how the City may assist with the financial empowerment project, and work with local non-profit organizations as appropriate to assist with the preparation of an application to the Bloomberg Philanthropies and Living Cities Financial Empowerment Centers initiative.
• The City Council fully endorses the Bloomberg Philanthropies and Living Cities Financial Empowerment Centers initiative and an application to make Phase One funds available to assist Austin citizens.",City Manager,Income and asset creation,Indirect,No,,
2012,Council Resolution,20120802-031,"Adopting the City's Fiscal Year 2012-2013 Action Plan, as required by the United States Department of Housing and Urban Development; and the Community Development 2012-2013 Program, as required by Texas Local Government Code Chapter 373.","• The City Council authorizes the City Manager to submit applications, a final statement of community development objectives and projected use of federal grants (CDBG, HOME, HOPWA, ESG, HUD) funds, and any required certifications, and to negotiate with HUD for the Federal HUD Grant before August 15, 2012; and
• The City Manager is further authorized to prepare, execute, attest and deliver all documents necessary to carry out the purposes of this Resolution.",City Manager,Financing,Indirect,No,,
2012,Council Resolution,20121108-048,City Manager to support community efforts to provide emergency safe sleep shelter for single women,The City Manager is directed to work with stakeholders to facilitate and support the continuing community efforts of the emergency safe sleep shelter for single women and the utilization of HMIS in that operation.,City Manager,Recommendations for process improvements,Indirect,Yes,,
2014,Community Report,Housing the Hardest to Serve: Using Permanent Supportive Housing to Address Chronic Homelessness in the City of Austin,,4. Explore Creative Housing First PSH Funding Partnerships.,AHFC,Recommendations for planning and approach,Indirect,Yes,,
2012,Council Resolution,20121213-098,City Manager to identify potential resources up to $10 million that would allow the City to realize near-term opportunities for affordable housing projects and programs,"City Manager is directed to identify between $8 million and $10 million in potential resources that would allow the City to realize near-term opportunities for affordable housing projects and programs and to report back to City Council by January 23, 2013.",City Manager,Financing,Indirect,No,,
2012,Council Resolution,20121213-068, City Manager to implement a policy conditioning receipt of multi-family energy efficiency rebates on an agreement by the recipient not to raise rents to recover the costs of the energy efficiency improvement,"• City Manager is directed to consult with stakeholders and develop a policy that would condition receipt of energy-efficiency rebate for multi-family property on agreement by the property owner or manager not to increase rents at the property during a reasonable period, unless the increase is demonstrably related to matters other than the energy-efficiency work performed. City Manager shall report to Council with proposed policy by February 4,2013, and include recommendations from the Electric Utility Commission and Resource Management Commission.",City Manager,Recommendations for planning and approach,Indirect,No,,
2014,Council Resolution,20140213-017,"commitment of a loan in an amount not to exceed $2,000,000 to Foundation Communities, Inc. for a proposed 120-unit affordable rental development, to be known as Bluebonnet Studios, located at 2301 South Lamar Boulevard, with funding being conditional upon the award of tax credits to Foundation Communities, Inc. by the Texas Department of Housing and Community Affairs for the proposed project.","City Manager is authorized to ensure that the Austin Housing Finance Corporation under the agreement authorizing the corporation to administer the City Funding Program enters into a deferred payment, forgivable loan funded with City issued general obligation bond proceeds in an amount not in excess of $2,000,000 with the Developer for development of the Proposed Bluebonnet Studios Development with loan funding being subject to the award of Low Income Housing Tax Credits by the Texas Department of Housing and Community Affairs.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2012,Council Resolution,20121213-065,"City Manager to provide a report on the Housing Trust Fund to the City Council by January 31, 2013","City Manager is directed to provide a report to the City Council by January 31, 2013 regarding past and future funding mechanisms for the Housing Trust Fund to include:
• Previous revenue to the RTF from developments on city-owned land including historical projections versus actual amounts to date;
• Projected revenue to the RTF from existing and planned developments on city-owned land for the coming 20 years;
• Research regarding development of non-City-owned properties in the Desired Development Zone that were not on the Travis Central Appraisal District property tax rolls on June 1, 1997 with an accounting of 40% of their incremental tax revenue to date and projected for the coming 20 years;
• Background and context for the decision to interpret the City Council direction from Resolution No. 000907-72 to include only development on city-owned land; and
• Properties included in Tax Increment Finance districts, such as Seaholm, that satisfy the criteria listed above and are not currently generating revenue for the Housing Trust Fund and the fiscal impacts to the fund.",City Manager,Financing,Indirect,No,,
2012,Council Resolution,20121213-058,"Supporting an application by Riverside CCF/CB Partners, LP for Affordable Housing Tax Credits for the proposed Estancia del Rio project","City Council of Austin hereby supports the proposed ""La Estancia"" development, and supports the application for Housing Tax Credits to be used to finance the development for affordable rental housing at the Northwest Corner of Riverside Drive and Frontier Valley Drive named ""La Estancia"" in Austin, Texas.",N/A,Preserving and expanding the supply of affordable housing,Indirect,No,,Presumed Implemented
2013,Council Resolution,20130509-031,"City Manager to establish baseline information, goals, opportunities and sustainable strategies for preserving affordable housing stock and to work with stakeholders to develop recommendations to Council to proactively address preservation of affordable housing","• City Manager is directed to specifically address preservation of existing affordable housing as a component of the City's near-term planning efforts in affordable housing, including establishing a baseline of the aging multi-family housing stock, setting goals to support preservation, identifying opportunities to further preservation initiatives, and developing financial strategies for sustainable approaches to achieving preservation of affordable housing.
• City Manager is further directed to work with stakeholders including organizations that can support planning and implementation efforts to further advance preservation initiatives, including the Austin Apartment Association, the Austin Board of Realtors and the Real Estate Council of Austin, HousingWorks Austin, in consultation with the Community Development Commission and the University of Texas, to develop recommendations for additional policies, programs and methodologies to proactively address preservation of affordable housing in Austin, with a report provided to Council by February 28, 2014.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2013,Council Resolution,20130627-072,City Manager to analyze the impacts of HB 3350 and present necessary City Code amendments so that homestead preservation districts can be created as soon as possible,"City Manager is directed to analyze the impacts of HB 3350 and present a legal and fiscal analysis, proposed boundaries and included property classes along with necessary Code amendments in order to align current City code with state law so that homestead preservation districts can be created as soon as possible.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2013,Council Resolution,20130808-062,"City Manager to work with necessary staff and outside stakeholders to create a standard affordability impact evaluation process that measures the increase in costs, to all types of development, caused by proposed changes to the City code, ordinances, administrative rules and policies and provide recommendations for Council to consider by December 12, 2013.","• City Manager is directed to work with the necessary staff and outside stakeholders to create a standard evaluation process that measures the increase in costs, for all types of development, caused by proposed changes to the City Code, other ordinances, administrative rules and other potential policy changes.
• City Manager is also directed to develop and submit recommendations for Council to consider by December 12, 2013.",City Manager,Recommendations for planning and approach,Indirect,No,,
2013,Council Resolution,20131024-055,"City Manager to explore the feasibility of creating a guaranteed loan program, including a collateral pool for small businesses and minority- and women owned businesses (MBE/WBEs) that contract with the City directly, or through companies that contract with the City or have chapter 380 economic incentive agreements with the City.","• City Manager is directed to explore options for working with third party financial institutions to provide a guaranteed loan program including a collateral pool as a resource for small businesses including City certified minority- and women-owned business enterprises that contract with the City directly, or through companies that contract with the City or contract with companies that receive chapter 380 economic incentives with the City.
• City Manager is directed to bring back multiple options regarding possible guaranteed loan program including a collateral pool, and provide information on any related fiscal notes, program structure and administration information, and detailed outlines of potential benefits and services available for small businesses for Council consideration no later than December 12, 2013 to allow time for discussion prior to the mid-year budget adjustment in January 2014.
• City Manager shall gather feedback regarding potential options from the MBEAVBE and Small Business Enterprise Procurement Program Advisory Committee at their November 5th and December 3rd 2013 meetings.",City Manager,Preserving and growing small businesses and cultural assets,Indirect,No,,
2013,Council Resolution,20131107-052,"City Manager to work with the Discount Steering Committee and other consumer advocates to develop rules for deferred payment agreements and service disconnections and to offer recommendations on an arrearage management plan and education related to utility usage reduction, and to report back to the City Council within six months.","• City Manager is directed to work with the Discount Steering Committee and other consumer advocates to develop revised rules for deferred payment plans and service disconnections.
• City Manager work with the Discount Steering Committee and consumer advocates to develop an arrearage management plan, taking into consideration best practices from other cities, and including strategies for incentivizing customers for honoring payment agreements.
• City Manager work with this group to develop appropriate customer service practices for providing information to customers entering into deferred payment plans about resources available to customers through Austin Energy or the Austin Water Utility, including eligibility for customer assistance programs, participation in energy efficiency rebate and/or low income weatherization, and education on usage management strategies.
• City Manager provide the recommendations of the Discount Steering Committee and consumer advocates to the Electric Utility Commission, the Resource Management Commission, and the Water and Wastewater Commission for their review and approval and to the City Council no later than six months after the adoption of this resolution.",City Manager,Recommendations for process improvements,Indirect,No,,
2013,Council Resolution,20131121-059,City Manager to work with stakeholders to explore opportunities for the City to benefit from the Immigrant Investor Program administered by the United States Citizenship and Immigration Services Department,City Manager is directed to work with stakeholders to evaluate opportunities for the City to benefit from EB-5 and to bring recommendations back to Council within 90 days.,City Manager,Income and asset creation,Indirect,No,,
2013,Council Resolution,,"Committing City support for the federal Promise Zone Initiative program, which provides a program for local governments to work with the federal government to accelerate revitalization in areas meeting certain poverty, crime and population levels and other criteria, if the U.S. Department of Housing and Urban Development approves the City's application to designate the Rundberg area as a Promise Zone","City Council supports the designation of the Rundberg area as described above as a Promise Zone, and future commitment by the City necessary and in accordance with applicable policies and procedures to participate in the Promise Zone Initiative program if selected by the U.S. Department of Housing and Urban Development.",N/A,Recommendations for planning and approach,Indirect,No,,Presumed Implemented
2017,Commission Report,Asian American Quality of Life Advisory Commission,,The Commission recommends that the City develop budget policies and initiatives that address institutional racism and systematic inequality that works to exclude and/or discriminate against Asian Americans.,Council,Recommendations for planning and approach,Indirect,No,,
2014,Council Resolution,20140123-059,"City Manager to research best practices for the development of self-contained living spaces 500 square feet and less (micro-units), to identify barriers to development, and report back to Council with recommendations for micro-unit development including necessary code amendments","City Manager is directed to research best practices in other urban areas for the development of micro-units, including building methods and sizing, to work with Austin housing builders and developers to identify barriers to micro-unit development, and develop potential solutions.

City Manager is further directed to report back to Council by February 27, 2014 with recommendations for making micro-unit development legal and viable in Austin including any necessary Code amendments.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Council Resolution,20140130-048,City Manager to calculate an affordability benchmark that measures residents' ability to pay for general fund services. This benchmark shall serve as a guide during the annual budget process,"City Manager is directed to create a benchmark, tied to the annual change in residents' income, which measures residents' ability to pay for general fund services. The formula for creating the benchmark is as follows:
(1) Combine estimates of City and Travis County population (from the city demographer) with the latest figures on Travis County income (from the United States Department of Commerce) to obtain an estimate of total City income.
(2) Convert the annual total income time-series to a 5MA. This will smooth out and delay the effects of anomalies.
(3) Calculate the most recent percentage change in the 5MA.
(4) Adopt this figure as an objective to assist in preparation and consideration of the current general fund budget.

This procedure will create a benchmark tied to the annual change in residents' income that can guide both council and management in the annual budget process.",City Manager,Recommendations for planning and approach,Indirect,No,,
2012,Council Resolution,20120524-015,"creating the Family Business Loan Program, a public-private partnership loan program designed to fund small business expansions that will create jobs, and approving program guidelines","The Family Business Loan Program is created, and program guidelines and criteria are approved.",N/A,Preserving and growing small businesses and cultural assets,Indirect,No,,Presumed Implemented
2014,Council Resolution,20140213-018,"commitment of a loan in an amount not to exceed $2,805,000 to Foundation Communities, Inc. for a proposed 170-unit affordable rental development, to be known as Cardinal Point, located at 11108 and 11300 Zimmerman Lane, with funding being conditional upon the award of tax credits to Foundation Communities, Inc. by the Texas Department of Housing and Community Affairs for the proposed project.
","City Manager is authorized to ensure that the Austin Housing Finance Corporation under the agreement authorizing the corporation to administer the City Funding Program enters into a deferred payment, forgivable loan funded with City-issued general obligation bond proceeds in an amount not in excess of $1,860,000 with the Developer for development of the Proposed Cardinal Point Development with loan funding being subject to the award of Low Income Housing Tax Credits by the Texas Department of Housing and Community Affairs.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2014,Council Resolution,20140213-019,"Commitment of a loan in an amount not to exceed $1,250,000 to Foundation Communities, Inc. for a proposed 60-unit expansion of its existing multi-family development, Southwest Trails, to be known as Southwest Trails Phase II, located at 8500 U.S. Highway 71, with funding being conditional upon the award of tax credits to Foundation Communities, Inc. by the Texas Department of Housing and Community Affairs for the proposed project","City Manager is authorized to ensure that the Austin Housing Finance Corporation under the agreement authorizing the corporation to administer the City Funding Program enters into a deferred payment, forgivable loan funded with City issued general obligation bond proceeds in an amount not in excess of $1,250,000 with the Developer for development of the Proposed Southwest Trails, Phase II Development with loan funding being subject to the award of Low Income Housing Tax Credits by the Texas Department of Housing and Community Affairs.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2014,Council Resolution,20140213-020,"Commitment of a loan in an amount not to exceed $2,200,000 to DDC Merritt Lakeline Station, Ltd. for a proposed 200-unit mixed-income rental development, Merritt Lakeline Station Apartments, located at 10701 Lakeline Mall Drive, with funding being conditional upon the award of tax credits to DDC Merritt Lakeline Station, Ltd. by the Texas Department of Housing and Community Affairs for the proposed project.","City Manager is authorized to ensure that the Austin Housing Finance Corporation under the agreement authorizing the corporation to administer the City Funding Program enters into a deferred payment, forgivable loan funded with City-issued general obligation bond proceeds in an amount not in excess of $2,200,000 with the Developer for development of the Proposed Merritt Lakeline Station Development with loan funding being subject to the award of Low Income Housing Tax Credits by the Texas Department of Housing and Community Affairs.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2014,Council Resolution,20140213-021,"Commitment of a loan in an amount not to exceed $2,475,000 to Foundation Communities, Inc. for a proposed 150-unit affordable rental development, to be known as Rutledge Spur Apartments, located at the northeast corner of Rutledge Spur and FM 620, with funding being conditional upon the award of tax credits to Foundation Communities, Inc. by the Texas Department of Housing and Community Affairs for the proposed project","City Manager is authorized to ensure that the Austin Housing Finance Corporation under the agreement authorizing the corporation to administer the City Funding Program enters into a deferred payment, forgivable loan funded with City issued general obligation bond proceeds in an amount not in excess of $2,475,000 with the Developer for development of the award of Low Income Housing Tax Credits by the Texas Department of Housing and Community Affairs.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2014,Council Resolution,20140213-044,,"• City Manager is directed to develop a program plan, financing, and funding strategy for viable districts in the context of an overall affordable housing financing strategy. This strategy should include a market analysis study of each proposed district, using land use and market data information to project future property values. A proposed plan should include recommendations on using value capture and/or other funding tools to accomplish the Council's priorities.
• City Manager is directed to develop criteria for determining whether land is unproductive, underdeveloped or blighted in order to comply with the existing TIF policy and also to identify publicly-owned property in the proposed districts and the intended use of the property.
• City Manager is directed to report back to Council within 180 days.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Council Resolution,20140501-013,"a resolution consenting to the issuance of $25,000,000 in multi-family housing revenue bonds by Austin Affordable, PFC, Inc., an affiliate of the Housing Authority of the City of Austin, to finance, in part, a proposed multi-family rental development to be located at 7000 East Ben White Boulevard.","City Council gives its approval for the Issuer to issue the Bonds, the proceeds of which will be loaned to the Borrower to finance the cost of land acquisition, construction, and equipping the Project located at 7000 East Ben White Boulevard, Austin, Texas 78741.",N/A,Financing,Direct,No,Actionable,Presumed Implemented
2006,Council Resolution,20061005-028,"City Manager to develop accountability guidelines for the affordable housing bonds set for the November 7, 2006 City bond election.","Council directs the City Manager to bring the recommendations and proposed process back to the Council for approval within 60 days following the November 7, 2006 City bond election, if the affordable housing bonds are approved by the voters.",City Manager,Financing,Indirect,No,,
2014,Council Resolution,20140501-014,"A resolution consenting to the issuance of $17,000,000 in multi-family housing revenue bonds by Austin Affordable, PFC, Inc., an affiliate of the Housing Authority of the City of Austin, to finance, in part, a proposed multi-family rental development for seniors to be located at 6934 East Ben White Boulevard.","City Council gives its approval for the Issuer to issue the Bonds, the proceeds of which will be loaned to the Borrower to finance the cost of land acquisition, construction, and equipping the Project located at 6934 East Ben White Boulevard, Austin, Texas 78741. ",N/A,Financing,Direct,No,Actionable,Presumed Implemented
2014,Council Resolution,20140515-033,"City Manager to explore options and take appropriate actions to maintain the availability of affordable housing units during the rehabilitation or demolition and reconstruction of affordable housing projects, such as Oak Creek Village Apartments.","• City Manager is directed to explore options and take appropriate actions to maintain the availability of affordable housing units during the rehabilitation or demolition and reconstruction of affordable housing projects, such as Oak Creek Village Apartments.
• The City Manager shall report back to Council by June 16, 2014.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Council Resolution,20140612-032,"Planning Commission to consider a planning process and resulting plans for the North Central Austin Study Area which will create new neighborhood plans for the Rosedale, Allandale, and North Shoal Creek Neighborhood Planning Areas; revised neighborhood plans for the Brentwood, Highland, Crestview, and Wooten Neighborhood Planning Areas; and new corridor plans for Burnet Road from 45th Street to US 183 and Anderson Lane from Mopac to the Capital Metropolitan Transportation Authority's railroad track.","• The City Council directs the Planning Commission to consider corridor plans for Burnet Road from 45'*' Street to U.S. 183 and Anderson Lane from Mopac to the Capital Metropolitan Transportation Authority's railroad track with an effective date of June 12, 2014.
• Planning Commission to consider a neighborhood plan for the North Shoal Creek Neighborhood Planning Area with an effective date of June 12, 2014.",Planning Commission,Recommendations for planning and approach,Indirect,No,,
2014,Council Resolution,20140612-072,"Resolution supporting the development of cooperative businesses and directing the City Manager to convene stakeholders and to develop recommendations that detail ways the City can promote the development of new and existing cooperative businesses, commonly referred to as co-ops.","City Manager is directed to convene stakeholders to develop recommendations that detail ways the city can promote the development of new and existing cooperative businesses, and to report to the MWBE and Small Business Council Committee for discussion prior to reporting to City Council by August 28, 2014.",N/A,Preserving and growing small businesses and cultural assets,Indirect,No,,
2014,Council Resolution,20140807-101,"City Manager to identify obstacles to building, parking, and living in single-family detached homes that are less than 500 square feet in size and are often on wheels (tiny houses), and report solutions back to Council","City Manager is directed to identify obstacles to building, parking, and living in tiny houses, or single-family detached homes that are less than 500 square feet in size and are often on wheels, and report them back to Council by October 1, 2014, with recommended solutions to make tiny houses legal and viable, including an assessment of the potential impact of any proposed code changes on neighborhoods and a recommendation regarding whether any of the proposed code changes should be considered in the CodeNext code revision process.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Council Resolution,20140828-158,"City Manager to create policies which increase energy efficiency program offerings for low income and low-moderate income customers, and creating a Low Income Consumer Advisory Task Force.","• City Manager is directed to implement a planning process to evaluate recommendations of the 2009 and 2014 Austin Generation Resource Planning Task Forces and to develop program changes, including potential increases of the energy efficiency demand reduction goal and establishing energy efficiency programs, and funding levels for equitable, effective program offerings for Austin Energy's customers, with particular emphasis on low income and low-moderate income households.
• Task Force shall explore program options for low income and low-moderate income households such as income-sensitive sliding scale incentives, neighborhood-based energy efficiency programs, low cost loans, combining community and city resources to effectively deliver programs, program cost-saving measures, and any other alternatives that will improve the effectiveness and cost efficiency of program delivery.
• City Manager is requested to solicit participation from county offices providing energy assistance and affordable housing, to encourage participation from the City's Neighborhood Housing and Health and Human Services departments, and to provide reasonably necessary resources and technical assistance to the Task Force .
• City Manager shall conduct a statistically valid survey for customers participating in energy efficiency programs to measure customer satisfaction and collect demographic data such as income, race, and education level.",City Manager,Recommendations for planning and approach,Indirect,No,,
2017,Commission Report,Community Development Commission,,CDC recommends the use of the Equity Tool to review the pattern of granting variances in neighborhoods where the majority of residents are people of color.,Council,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Council Resolution,20140925-088,"City Manager to establish goals for land banking and community land trusts, and establish criteria and accounting requirements for the tax exemption of public land used for affordable housing and other long term equity-based partnerships to promote transparency","City Manager is directed to work with the City of Austin's Community Development Commission in order to establish goals for land banking and community land trusts, and also provide criteria and accounting requirements for the tax exemption of public land used for affordable housing and other long term equity-based partnerships to promote transparency.",City Manager,Controlling land for community development,Indirect,No,,
